Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
33.70,True,True,True,448938,454,Islamic Art,1933,Folio from an illustrated manuscript,"""The Funeral of Isfandiyar,"" Folio from a Shahnama (Book of Kings)",,,,,,13035,Author, ,Abu'l Qasim Firdausi,"Iranian, Paj ca. 940/41–1020 Tus", ,Abu'l Qasim Firdausi,Iranian,0935      ,1020      ,,,https://www.wikidata.org/wiki/Q43459,1330s,1305,1355,"Ink, opaque watercolor, and gold on paper","Page: Ht. 22 13/16 in. (58 cm)
           W. 15 3/4 in. (40 cm)
Mat: Ht. 24 in. (61 cm)
        W. 19 1/2 in. (49.5 cm)","Purchase, Joseph Pulitzer Bequest, 1933",Attributed to,Tabriz,,,Iran,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/448938,https://www.wikidata.org/wiki/Q29385084,,"Metropolitan Museum of Art, New York, NY",Men|Horses|Funerals,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300069162,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q201676
37.103,True,True,True,449211,451,Islamic Art,1937,Panel,Panel,,,,,,,,,,,,,,,,,,,second half 8th century,750,799,Wood (fig); mosaic with bone and four different types of wood,"H. 18 3/4 in. (47.6 cm)
W. 76 1/2 in. (194.3 cm)
Wt. 97 lbs (44 kg)
Mount: 
H. 24 1/2 in. (62.2 cm)
W. 80 1/2 in. (204.5 cm)
D. 6 in. (15.2 cm)
Wt. 97 lbs. (44 kg) with mount and plexi","Samuel D. Lee Fund, 1937",Attributed to,,,,probably Egypt,,,,,,,Wood,,http://www.metmuseum.org/art/collection/search/449211,https://www.wikidata.org/wiki/Q29385086,,"Metropolitan Museum of Art, New York, NY",Arches|Columns,http://vocab.getty.edu/page/aat/300001062|http://vocab.getty.edu/page/aat/300001571,https://www.wikidata.org/wiki/Q12277|https://www.wikidata.org/wiki/Q4817
38.40.137,True,True,True,449348,452,Islamic Art,1938,Bowl,"Bowl with Green, Yellow, and Brown Splashed Decoration",,,,,,,,,,,,,,,,,,,10th century,900,999,"Earthenware; white slip, incised and splashed with polychrome glazes under transparent glaze (sgraffito ware)","H. 2 7/8 in. (7.3 cm)
Diam. 10 1/4 in. (26 cm)
","Rogers Fund, 1938",Excavated in,Nishapur,,,Iran,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/449348,https://www.wikidata.org/wiki/Q29385090,,"Metropolitan Museum of Art, New York, NY",,,
38.40.247,True,True,True,449457,452,Islamic Art,1938,Ewer,Animal-Spouted Pitcher,,,,,,,,,,,,,,,,,,,9th–10th century,800,999,Earthenware; polychrome decoration under transparent glaze (buff ware),H. 10 1/2 in. (26.7 cm),"Rogers Fund, 1938",Excavated in|Attributed to,Nishapur|Nishapur,|,,Iran|Iran,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/449457,https://www.wikidata.org/wiki/Q29385093,,"Metropolitan Museum of Art, New York, NY",Animals|Birds,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q5113
39.20,True,True,True,449537,455,Islamic Art,1939,Mihrab,Mihrab (Prayer Niche),,,,,,,,,,,,,,,,,,,dated A.H. 755/1354–55 CE,1330,1380,"Mosaic of polychrome-glazed cut tiles on stonepaste body; set into mortar

","Mihrab
            H. 135 1/16 in. (343.1 cm)
            W. 113 11/16in. (288.7cm)
            Wt. 4,500 lbs. (2041.2 kg)
Storage box:  
             W. 99 in. (251.5 cm)
             D. 41 1/2 in. (105.4 cm)
","Harris Brisbane Dick Fund, 1939",From,Isfahan,,,Iran,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/449537,https://www.wikidata.org/wiki/Q29385100,,"Metropolitan Museum of Art, New York, NY",Arabic,http://vocab.getty.edu/page/aat/300387843,https://www.wikidata.org/wiki/Q13955
39.40.87,True,False,True,449619,453,Islamic Art,1939,Lantern,Lantern for a Lamp,,,,,,,,,,,,,,,,,,,9th–10th century,800,999,"Earthenware; carved decoration, unglazed","Overall:
            H. 9 5/8 in. (24.5 cm)
            Diam. 5 7/8 in. (15 cm)
Base: 
        Diam. 4 1/2 in. (11.5 cm)","Rogers Fund, 1939",Excavated in,Nishapur,,,Iran,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/449619,https://www.wikidata.org/wiki/Q29385102,,"Metropolitan Museum of Art, New York, NY",,,
41.150,True,True,True,450409,450,Islamic Art,1941,Bottle,Enameled and Gilded Bottle,,,,,,,,,,,,,,,,,,,late 13th century,1275,1299,"Glass, greenish; blown, folded foot; enameled and gilded","H. 17 1/8 in. (43.5 cm)
Max. Diam. 11 in. (27.9 cm)","Rogers Fund, 1941",Attributed to,possibly Cairo,,,Egypt,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/450409,https://www.wikidata.org/wiki/Q29385104,,"Metropolitan Museum of Art, New York, NY",Birds|Men|Phoenix|Horses,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300379749|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q48444|https://www.wikidata.org/wiki/Q726
44.15,True,True,True,450513,453,Islamic Art,1944,Ewer,Ewer,,,,,,,,,,,,,,,,,,,ca. 1180–1210,1155,1235,"Brass; raised, repoussé, inlaid with silver and a black compound","H. 15 3/4 in. (40 cm)
Diam. 7 1/2 in. (19.1 cm)","Rogers Fund, 1944",Attributed to,,,,Iran or Afghanistan,Khurasan or Herat,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/450513,https://www.wikidata.org/wiki/Q29385112,,"Metropolitan Museum of Art, New York, NY",Zodiac,http://vocab.getty.edu/page/aat/300009937,https://www.wikidata.org/wiki/Q40540
46.128,True,True,True,450716,462,Islamic Art,1946,Carpet,The Anhalt Medallion Carpet,,,,,,,,,,,,,,,,,,,probably first half 16th century,1500,1550,"Cotton (warp), silk (weft), wool (pile); asymmetrically knotted pile","Rug: 
         H. 312 in. (792.5 cm)
         W. 165 in. (419.1 cm)
         Wt. on 8"" tube - 184 lbs. (83.5 kg)","Gift of Samuel H. Kress Foundation, 1946",Attributed to,,,,Iran,,,,,,,Textiles-Rugs,,http://www.metmuseum.org/art/collection/search/450716,https://www.wikidata.org/wiki/Q29385114,,"Metropolitan Museum of Art, New York, NY",Peacocks|Flowers|Vines,http://vocab.getty.edu/page/aat/300250082|http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300132406,https://www.wikidata.org/wiki/Q201251|https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q917284
47.100.90,True,True,True,450748,451,Islamic Art,1947,Ewer,Ewer with a Feline-Shaped Handle,,,,,,,,,,,,,,,,,,,7th century,600,699,"Bronze; cast, chased, and inlaid with copper","Max. H. 19 1/8 in. (48.5 cm)
Max. Diam. 8 1/4 in. (21.1 cm)","Fletcher Fund, 1947",Attributed to,,,,Iran,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/450748,https://www.wikidata.org/wiki/Q29385116,,"Metropolitan Museum of Art, New York, NY",Cats,http://vocab.getty.edu/page/aat/300265960,https://www.wikidata.org/wiki/Q146
48.101.70,True,True,True,450818,453,Islamic Art,1948,Strand of beads,Strand of Beads,,,,,,,,,,,,,,,,,,,9th–12th century,800,1199,Carnelian,"H. 5 3/4 in. (14.6 cm)
W. 4 5/8 in. (11.7 cm)
D. 5/8 in. (1.6 cm)","Rogers Fund, 1948",Excavated in,Nishapur,,,Iran,,,,,,,Jewelry,,http://www.metmuseum.org/art/collection/search/450818,https://www.wikidata.org/wiki/Q29385119,,"Metropolitan Museum of Art, New York, NY",,,
51.56,True,True,True,451042,453,Islamic Art,1951,Incense burner,Incense Burner of Amir Saif al-Dunya wa’l-Din ibn Muhammad al-Mawardi,,,,,,13241,Maker, ,Ja`far ibn Muhammad ibn `Ali, , ,Ja'far ibn Muhammad ibn `Ali, ,          ,          ,,,,dated A.H. 577/ 1181–82 CE,1166,1207,"Bronze; cast, engraved, chased, pierced","OveralL. H. 33 1/2 in. (85.1 cm)
               L. 32 1/2 in. (82.6 cm)
               W. 9 in. (22.9 cm)
L. from heel of back foot to toe of front foot: 22 in. (55.9 cm)
L. from toe of front foot to tip of nose: 4 in. (10.2 cm)
L. from heel of back foot to tip of taiL. 7 in. (17.8 cm)","Rogers Fund, 1951",Found,Taybad,,,Iran,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/451042,https://www.wikidata.org/wiki/Q29385124,,"Metropolitan Museum of Art, New York, NY",Animals,http://vocab.getty.edu/page/aat/300249525,https://www.wikidata.org/wiki/Q729
52.20.15,True,True,True,451095,460,Islamic Art,1952,Kaftan fragment,Fragment of a Kaftan Back,,,,,,,,,,,,,,,,,,,mid-16th century,1525,1575,"Silk, metal wrapped thread; taqueté (seraser)","Textile: L. 52 in. (132.1 cm)
            W. 27 in. (68.6 cm)
Mount: L. 58 3/16 in. (147.8 cm)
            W. 33 1/8 in. (84.1 cm)","Purchase, Joseph Pulitzer Bequest, 1952",Attributed to,probably Istanbul,,,Turkey,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/451095,https://www.wikidata.org/wiki/Q29385130,,"Metropolitan Museum of Art, New York, NY",,,
55.121.10.39,True,True,True,451286,463,Islamic Art,1955,Album leaf,"""Rosette Bearing the Names and Titles of Shah Jahan"", Folio from the Shah Jahan Album",,,,,,,,,,,,,,,,,,,recto: ca. 1645; verso: ca. 1630–40,1605,1670,"Ink, opaque watercolor, and gold on paper","H. 15 3/16 in. (38.6 cm)
W. 10 7/16 in. (26.5 cm)","Purchase, Rogers Fund and The Kevorkian Foundation Gift, 1955",Made in,,,,India,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/451286,https://www.wikidata.org/wiki/Q29385144,,"Metropolitan Museum of Art, New York, NY",Calligraphy,http://vocab.getty.edu/page/aat/300266660,https://www.wikidata.org/wiki/Q12681
56.217,True,False,True,451367,462,Islamic Art,1956,Carpet,The 'Nigde' Carpet,,,,,,,,,,,,,,,,,,,18th century,1700,1799,"Cotton (warp and weft), wool (pile); symmetrically knotted pile

","Rug: H. 298 in. (755.7 cm)
         W. 121 1/2 in. (308.6 cm)
Tube: H. 128 in. (325.1 cm)
          W. 10 in. (25.4 cm)","Gift of Joseph V. McMullan, 1956",Made in,,,,"Northwestern Iran, probably",,,,,,,Textiles-Rugs,,http://www.metmuseum.org/art/collection/search/451367,https://www.wikidata.org/wiki/Q29385148,,"Metropolitan Museum of Art, New York, NY",Palmettes|Flowers,http://vocab.getty.edu/page/aat/300009995|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q677655|https://www.wikidata.org/wiki/Q506
56.234.35,True,False,True,451373,459,Islamic Art,1956,Ceiling,Ceiling,,,,,,,,,,,,,,,,,,,16th century,1500,1599,"Wood; carved, painted, and gilded","L. 396 in. (1005.8 cm)
W. 336 in. (853.4 cm)","Gift of The Hearst Foundation, 1956",Made in,,,,Spain,,,,,,,Wood,,http://www.metmuseum.org/art/collection/search/451373,https://www.wikidata.org/wiki/Q29385150,,"Metropolitan Museum of Art, New York, NY",,,
57.88a–c,True,True,True,451447,453,Islamic Art,1957,Armlet,Armlet,,,,,,,,,,,,,,,,,,,first half 11th century,1000,1050,Gold; filigree and granulation,"H. of clasp: 2 1/2 in. (6.4 cm)
Max. Diam: 4 1/8 in. (10.5 cm)
","Harris Brisbane Dick Fund, 1957",Found,Gurgan,,,Iran,,,,,,,Jewelry,,http://www.metmuseum.org/art/collection/search/451447,https://www.wikidata.org/wiki/Q29385164,,"Metropolitan Museum of Art, New York, NY",,,
