Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
51.12.2,True,True,True,200,708,The American Wing,1951,Armchair,Spindle-back armchair,American,,,,,,,,,,,,,,,,,,1640–80,1640,1680,Ash,44 3/4 x 23 1/2 x 15 3/4 in. (113.7 x 59.7 x 40 cm),"Gift of Mrs. J. Insley Blair, 1951",Possibly made in|Possibly made in,Boston|Charlestown,,,United States|United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/200,https://www.wikidata.org/wiki/Q29382862,,"Metropolitan Museum of Art, New York, NY",,,
1986.204,True,True,True,214,736,The American Wing,1986,Armchair,Armchair,American,,,,,345,Maker,Possibly,Gustave Herter,1830–1898, ,"Herter, Gustave","German (Stuttgart, principality of Württemberg)",1830      ,1898      ,,http://vocab.getty.edu/page/ulan/500088027,https://www.wikidata.org/wiki/Q1556712,ca. 1855,1852,1858,"Walnut, original leather, modern velvet cushion",64 1/2 x 25 3/8 x 22 1/4 in. (163.8 x 64.5 x 56.5 cm),"Friends of the American Wing Fund, 1986",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/214,https://www.wikidata.org/wiki/Q83560001,,"Metropolitan Museum of Art, New York, NY",,,
1970.35.1,True,True,True,237,736,The American Wing,1970,Armchair,Armchair,American,,,,,16381,Maker,Attributed to,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19, ,Pottier and Stymus Manufacturing Company , ,1858      ,1919      ,,http://vocab.getty.edu/page/ulan/500330539,https://www.wikidata.org/wiki/Q2106610,ca. 1870–75,1867,1875,"Rosewood, prickly juniper veneer, gilding, brass, original tapestry upholstery",37 x 27 1/2 x 27 1/2 in. (94 x 69.9 x 69.9 cm),"Funds from various donors, 1970",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/237,https://www.wikidata.org/wiki/Q29382865,,"Metropolitan Museum of Art, New York, NY",Sphinx,http://vocab.getty.edu/page/aat/300375739,https://www.wikidata.org/wiki/Q151480
54.167,True,True,True,364,750,The American Wing,1954,Basket,Basket,American,,,,,115,Maker, ,Myer Myers,1723–1795, ,"Myers, Myer",American,1723      ,1795      ,,http://vocab.getty.edu/page/ulan/500092592,https://www.wikidata.org/wiki/Q29441860,1770–76,1770,1776,Silver,11 3/16 x 14 7/16 x 11 3/8 in. (28.4 x 36.7 x 28.9 cm); 41 oz. 5 dwt. (1282.7 g),"Morris K. Jesup Fund, 1954",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/364,https://www.wikidata.org/wiki/Q29382867,,"Metropolitan Museum of Art, New York, NY",,,
66.10.2,True,True,True,458,751,The American Wing,1966,Bench,Bench,"American, Shaker",,,,,8737,Maker, ,United Society of Believers in Christ’s Second Appearing (“Shakers”),"American, active ca. 1750–present", ,United Society of Believers in Christ’s Second Appearing,American,1750      ,9999      ,,(not assigned),https://www.wikidata.org/wiki/Q1370167,1825–50,1825,1850,Pine,26 1/2 x 94 x 12 in. (67.3 x 238.8 x 30.5 cm),"Friends of the American Wing Fund, 1966",Probably made in,Hancock,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/458,https://www.wikidata.org/wiki/Q104412962,,"Metropolitan Museum of Art, New York, NY",,,
1981.83,True,False,True,632,704,The American Wing,1981,Bottle,Bottle,American,,,,,123,Maker,Probably,Wistarburgh Glassworks, , ,Wistarburgh Glassworks ,American,          ,9999      ,,,,1738–ca. 1777,1738,1777,Free-blown glass,H. 6 1/2 in. (16.5 cm),"Purchase, Judith F. and William H. Hernstadt Gift, 1981",Made in,Alloway,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/632,https://www.wikidata.org/wiki/Q104412963,,"Metropolitan Museum of Art, New York, NY",Dogs,http://vocab.getty.edu/page/aat/300265714,https://www.wikidata.org/wiki/Q144
12.3.1,True,True,True,674,749,The American Wing,1912,Basin,Basin,Mexican,,,,,18713,Artist, ,Master Potter A, , ,Master Potter A, ,          ,          ,,,,ca. 1650,1647,1650,Tin-glazed earthenware,Diam. 20 3/4 in. (52.7 cm),"Gift of Mrs. Robert W. de Forest, 1912",Made in,,,,Mexico,,,,,,,,,http://www.metmuseum.org/art/collection/search/674,https://www.wikidata.org/wiki/Q29382870,,"Metropolitan Museum of Art, New York, NY",,,
38.63,True,True,True,802,750,The American Wing,1938,Bowl,Two-handled Bowl,American,,,,,124,Maker, ,Cornelius Kierstede,1674–ca. 1757, ,"Kierstede, Cornelius",American,1674      ,1760      ,,http://vocab.getty.edu/page/ulan/500068837,https://www.wikidata.org/wiki/Q67131647,1700–1710,1700,1710,Silver,"Overall: 5 3/8 x 13 13/16 in. (13.7 x 35.1 cm); 25 oz. 19 dwt. (806.9 g)
Lip: Diam. 9 11/16 in. (24.6 cm)
Foot: Diam. 4 13/16 in. (12.2 cm)","Samuel D. Lee Fund, 1938",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/802,https://www.wikidata.org/wiki/Q29382872,,"Metropolitan Museum of Art, New York, NY",Tulips,http://vocab.getty.edu/page/aat/300379705,https://www.wikidata.org/wiki/Q30345409
"77.9a, b",True,True,True,1029,706,The American Wing,1877,Vase,The Bryant Vase,American,,,,,1289162539129016236,Designer|Manufacturer|Decorator|Designer,Designed by|Manufactured by|Chased by|Medallions by,James Horton Whitehouse|Tiffany & Co.|Eugene J. Soligny|Augustus Saint-Gaudens,"1833–1902|1837–present|1832–1901|American, Dublin 1848–1907 Cornish, New Hampshire", | | | ,"Whitehouse, James Horton|Tiffany & Co.|Soligny, Eugene J.|Saint-Gaudens, Augustus", | |American|American,1833      |1837      |1832      |1848      ,1902      |9999      |1901      |1907      ,|||,|http://vocab.getty.edu/page/ulan/500330306||http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q29438542|https://www.wikidata.org/wiki/Q1066858||https://www.wikidata.org/wiki/Q770625,1876,1876,1876,Silver and gold,33 1/2 x 14 x 11 5/16 in. (85.1 x 35.6 x 28.7 cm); Diam. 11 5/16 in. (28.7cm); 452 oz. 16 dwt. (14084.2 g),"Gift of William Cullen Bryant, 1877",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1029,https://www.wikidata.org/wiki/Q29382874,,"Metropolitan Museum of Art, New York, NY",Musical Instruments|Birds|Men|Women|Flowers,http://vocab.getty.edu/page/aat/300041620|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q34379|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q506
1985.116,True,True,True,1083,743,The American Wing,1985,Cabinet,Cabinet,American,,,,,130,Maker,Attributed to,Daniel Pabst,"American, born Germany 1826–1910 Philadelphia, Pennsylvania", ,"Pabst, Daniel","American, born Germany",1826      ,1910      ,,http://vocab.getty.edu/page/ulan/500079679,https://www.wikidata.org/wiki/Q5218374,ca. 1877–80,1874,1880,"Walnut, maple, white pine, glass",96 x 42 x 20 in. (243.8 x 106.7 x 50.8 cm),"Friends of the American Wing Fund, 1985",Made in,Philadelphia,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1083,https://www.wikidata.org/wiki/Q29382881,,"Metropolitan Museum of Art, New York, NY",,,
68.100.1,True,True,True,1084,774,The American Wing,1968,Cabinet,Cabinet,American,,,,,119,Maker, ,Alexander Roux,1813–1886, ,"Roux, Alexander",French,1813      ,1886      ,,(not assigned),https://www.wikidata.org/wiki/Q4719984,ca. 1866,1863,1866,"Rosewood, tulipwood, cherry, poplar, pine",53 3/8 x 73 3/8 x 18 3/8 in. (135.6 x 186.4 x 46.7 cm),"Purchase, The Edgar J. Kaufmann Foundation Gift, 1968",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1084,https://www.wikidata.org/wiki/Q29382884,,"Metropolitan Museum of Art, New York, NY",Men|Women,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467
1986.237,True,False,True,1503,704,The American Wing,1986,Celery vase,Celery vase,American,,,,,113,Maker,Attributed to,Boston & Sandwich Glass Company,"American, 1825–1888, Sandwich, Massachusetts", ,Boston and Sandwich Glass Company ,American,1825      ,1888      ,,http://vocab.getty.edu/page/ulan/500334773,https://www.wikidata.org/wiki/Q4948224,1827–35,1827,1835,Pressed glass,H. 7 5/16 in. (18.6 cm); Diam. 4 9/16 in. (11.6 cm),"Purchase, Mr. and Mrs. Paul Greenwood Gift, 1986",Made in,Sandwich,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1503,https://www.wikidata.org/wiki/Q29382887,,"Metropolitan Museum of Art, New York, NY",Tulips,http://vocab.getty.edu/page/aat/300379705,https://www.wikidata.org/wiki/Q30345409
1987.12,True,True,True,1524,706,The American Wing,1987,Vase,Century Vase,American,,,,,1355127,Maker|Maker, | ,Karl L. H. Müller|Union Porcelain Works,1820–1887|1863–1922, | ,"Müller, Karl L. H.|Union Porcelain Works ",American|American,1820      |1863      ,1890      |1922      ,|,http://vocab.getty.edu/page/ulan/500332076|http://vocab.getty.edu/page/ulan/500333024,|https://www.wikidata.org/wiki/Q18356506,1877,1877,1877,Porcelain,12 3/4 x 10 1/4 in. (32.4 x 26 cm),"Friends of the American Wing Fund, 1987",Made in,Brooklyn,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1524,https://www.wikidata.org/wiki/Q29382890,,"Metropolitan Museum of Art, New York, NY",Animals|George Washington,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/ulan/500126198,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q23
1984.21,True,False,True,1650,717,The American Wing,1984,Side chair,Side chair,American,,,,,,,,,,,,,,,,,,1750–60,1750,1760,"Walnut, maple, white pine",38 5/8 x 22 x 21 1/2 in. (98.1 x 55.9 x 54.6 cm),"Gift of Mr. and Mrs. Benjamin Ginsburg, 1984",Made in,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1650,https://www.wikidata.org/wiki/Q104412965,,"Metropolitan Museum of Art, New York, NY",,,
1974.325,True,True,True,1662,719,The American Wing,1974,Side Chair,Side Chair,American,,,,,20351120351,Maker|Maker,Possibly carved by|Attributed to,Hercules Courtenay|Benjamin Randolph,"American (born England), 1744–1784|American, 1737–1792", | ,"Courtenay, Hercules|Randolph, Benjamin",American|American,1744      |1737      ,1784      |1792      ,|,|http://vocab.getty.edu/page/ulan/500084141,|https://www.wikidata.org/wiki/Q16859499,ca. 1769,1764,1774,"Mahogany, northern white cedar",37 x 22 1/2 x 23 in. (94 x 57.2 x 58.4 cm),"Purchase, Sansbury-Mills and Rogers Funds, Emily Crane Chadbourne Gift, Virginia Groomes Gift, in memory of Mary W. Groomes, Mr. and Mrs. Marshall P. Blankarn, John Bierwirth and Robert G. Goelet Gifts, The Sylmaris Collection, Gift of George Coe Graves, by exchange, Gift of Mrs. Russell Sage, by exchange, and funds from various donors, 1974",Made in,Philadelphia,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1662,https://www.wikidata.org/wiki/Q104412966,,"Metropolitan Museum of Art, New York, NY",,,
62.16,True,True,True,1674,714,The American Wing,1962,Side Chair,Side Chair,American,,,,,111,Maker,Attributed to,Samuel McIntire,1757–1811, ,"McIntire, Samuel",American,1757      ,1811      ,,http://vocab.getty.edu/page/ulan/500023295,https://www.wikidata.org/wiki/Q370420,1794–99,1794,1799,"Mahogany, ebony, ash, birch, white pine",37 7/8 x 27 7/8 x 18 in. (96.2 x 70.8 x 45.7 cm),"Friends of the American Wing Fund, 1962",Made in,Salem,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1674,https://www.wikidata.org/wiki/Q29382893,,"Metropolitan Museum of Art, New York, NY",,,
65.167.6,True,False,True,1815,733,The American Wing,1965,Side Chair,Side Chair,American,,,,,1332133,Maker|Maker,Attributed to|Attributed to,John Finlay|Hugh Finlay,active ca. 1799–1833|active ca. 1800–37, | ,"Finlay, John|Finlay, Hugh", |American,1796      |1797      ,1833      |1837      ,|,http://vocab.getty.edu/page/ulan/500081342|http://vocab.getty.edu/page/ulan/500110217,|,1815–20,1815,1820,"Maple, painted and gilded, cane",34 x 20 5/8 x 22 1/4 in. (86.4 x 52.4 x 56.5 cm),"Purchase, Mrs. Paul Moore Gift, 1965",Made in,Baltimore,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1815,https://www.wikidata.org/wiki/Q29382896,,"Metropolitan Museum of Art, New York, NY",Griffins,http://vocab.getty.edu/page/aat/300379594,https://www.wikidata.org/wiki/Q130223
2012.574a–c,True,False,True,1981,704,The American Wing,2012,Inkstand,Inkstand,American,,,,,139,Maker, ,William Crolius, , ,"Crolius, William",American,          ,9999      ,,,,1773,1773,1773,Stoneware,2 1/8 x 5 x 5 1/2 in. (5.4 x 12.7 x 14 cm),"Gift of David Bronstein, 2012",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1981,https://www.wikidata.org/wiki/Q116390895,,"Metropolitan Museum of Art, New York, NY",,,
10.125.685,True,True,True,1997,708,The American Wing,1910,Chest,Chest,American,,,,,1399140,Maker|Maker,Possibly| ,William Searle|Thomas Dennis,died 1667|1638–1706, | ,"Searle, William|Dennis, Thomas", |American,1611      |1638      ,1667      |1706      ,|,http://vocab.getty.edu/page/ulan/500072676|http://vocab.getty.edu/page/ulan/500097372,|https://www.wikidata.org/wiki/Q97999847,1663–80,1663,1680,"White oak, red oak",29 3/4 x 49 1/8 x 21 3/8 in. (75.6 x 124.8 x 54.3 cm),"Gift of Mrs. Russell Sage, 1909",Made in,Ipswich,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1997,https://www.wikidata.org/wiki/Q29382899,,"Metropolitan Museum of Art, New York, NY",,,
27.57.1,True,True,True,2022,717,The American Wing,1927,Chest of drawers,Chest of drawers,American,,,,,129,Maker, ,John Townsend,1732–1809, ,"Townsend, John",American,1732      ,1809      ,,http://vocab.getty.edu/page/ulan/500062602,https://www.wikidata.org/wiki/Q56006667,1765,1765,1765,"Mahogany, tulip poplar, pine, chestnut",34 1/2 x 37 1/2 x 20 3/4 in. (87.6 x 95.3 x 52.7 cm),"Rogers Fund, 1927",Made in,Newport,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2022,https://www.wikidata.org/wiki/Q104412967,,"Metropolitan Museum of Art, New York, NY",,,
33.120.221,True,True,True,2059,750,The American Wing,1933,Chocolate Pot,Chocolate Pot,American,,,,,132,Maker, ,Edward Winslow,1669–1753, ,"Winslow, Edward",American,1669      ,1753      ,,http://vocab.getty.edu/page/ulan/500077139,https://www.wikidata.org/wiki/Q56451893,1700–1710,1700,1710,Silver,"Overall: 9 1/8 x 6 3/4 x 5 13/16 in. (23.2 x 17.1 x 14.8 cm); 23 oz. (715.4 g)
Foot: Diam. 3 15/16 in. (10 cm)","Bequest of Alphonso T. Clearwater, 1933",Made in,Boston,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2059,https://www.wikidata.org/wiki/Q29382902,,"Metropolitan Museum of Art, New York, NY",Coat of Arms,http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q14659
1972.232.1,True,False,True,2211,706,The American Wing,1972,Compote,Compote,American,,,,,224,Artist, ,Long Island Flint Glass Works of Christian Dorflinger,1852–63, ,"Dorflinger Christian, Long Island Flint Glass Works of",American,1852      ,1863      ,,,,1861,1861,1861,"Blown, cut, and engraved glass",H. 7 1/2 in. (19.1 cm),"Gift of Katheryn Hait Dorflinger Manchee, 1972",Made in,Brooklyn,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2211,https://www.wikidata.org/wiki/Q104412968,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297
"28.52a, b",True,True,True,2390,704,The American Wing,1928,Goblet,Covered goblet,American,,,,,1459203,Maker|Maker, | ,New Bremen Glass Manufactory|John Frederick Amelung,1784–1795|active 1784–ca. 1791, | ,"New Bremen Glass Manufactory |Amelung, John Frederick", |American,1784      |1784      ,1795      |1791      ,|,http://vocab.getty.edu/page/ulan/500331795|http://vocab.getty.edu/page/ulan/500109506,https://www.wikidata.org/wiki/Q4742351|https://www.wikidata.org/wiki/Q16934790,1788,1788,1788,Blown and engraved glass,H. 11 1/4 in. (28.6 cm),"Rogers Fund, 1928",Made in,New Bremen,Frederick County,Frederick County,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2390,https://www.wikidata.org/wiki/Q29382904,,"Metropolitan Museum of Art, New York, NY",Coat of Arms,http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q14659
18.95.16,True,False,True,2408,704,The American Wing,1918,Sugar pot,Sugar pot,American,,,,,,,,,,,,,,,,,,1820–40,1820,1840,Earthenware with slip decoration,H. 12 3/4 in. (32.4 cm); Diam. 10 in. (25.4 cm),"Rogers Fund, 1918",Made in,,Alamance,Alamance,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2408,https://www.wikidata.org/wiki/Q29382908,,"Metropolitan Museum of Art, New York, NY",,,
69.203,True,False,True,3152,723,The American Wing,1969,Desk and bookcase,Desk and Bookcase,American,,,,,,,,,,,,,,,,,,ca. 1811,1808,1811,"Mahogany, satinwood, maple, verre églomisé
with cedar",91 x 72 x 19 1/8 in. (231.1 x 182.9 x 48.6 cm),"Gift of Mrs. Russell Sage and various other donors, by exchange, 1969",Made in,Baltimore,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3152,https://www.wikidata.org/wiki/Q29382914,,"Metropolitan Museum of Art, New York, NY",,,
"60.29.1a, b",True,False,True,3158,733,The American Wing,1960,Secretary bookcase,Secretary-bookcase,American,,,,,18866,Maker,Possibly by,Robert Fisher,"American, active 1824–37", ,"Fisher, Robert",American,1824      ,1837      ,,,,1825–35,1825,1835,"Ebonized mahogany, mahogany, mahogany veneer, gilding, bronzing, stamped brass ornaments, and glass (secondary woods: pine, poplar, cherry)
",102 x 55 3/4 x 28 1/8 in. (259.1 x 141.6 x 71.4 cm),"Gift of Francis Hartman Markoe, 1960",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3158,https://www.wikidata.org/wiki/Q29382917,,"Metropolitan Museum of Art, New York, NY",,,
23.16,True,False,True,3395,751,The American Wing,1923,Dower chest,Chest,American,,,,,,,,,,,,,,,,,,ca. 1780,1777,1780,"Yellow pine, tulip poplar",28 5/8 x 52 1/2 x 23 in. (72.7 x 133.4 x 58.4 cm),"Rogers Fund, 1923",Made in,,Berks County,Berks County,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3395,https://www.wikidata.org/wiki/Q104412969,,"Metropolitan Museum of Art, New York, NY",Horses|Birds|Unicorns|Flowers,http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300379595|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q7246|https://www.wikidata.org/wiki/Q506
1971.219,True,False,True,3555,736,The American Wing,1971,Étagère,Étagère,American,,,,,119,Maker, ,Alexander Roux,1813–1886, ,"Roux, Alexander",French,1813      ,1886      ,,(not assigned),https://www.wikidata.org/wiki/Q4719984,ca. 1855,1855,1855,"Rosewood, rosewood veneer; chestnut, tulip poplar, bird's-eye maple (secondary woods)",86 x 79 1/2 x 31 3/4 in. (218.4 x 201.9 x 80.6 cm),"Sansbury-Mills Fund, 1971",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3555,https://www.wikidata.org/wiki/Q29382922,,"Metropolitan Museum of Art, New York, NY",,,
18.110.4,True,True,True,4282,747,The American Wing,1918,High chest of drawers,High chest of drawers,American,,,,,,,,,,,,,,,,,,1762–65,1762,1765,"Mahogany, mahogany veneer, tulip poplar,
yellow pine, white cedar",91 3/4 x 44 5/8 x 24 5/8 in. (233 x 113.3 x 62.5 cm),"John Stewart Kennedy Fund, 1918",Made in,Philadelphia,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/4282,https://www.wikidata.org/wiki/Q29382924,,"Metropolitan Museum of Art, New York, NY",,,
40.37.1,True,False,True,4285,717,The American Wing,1940,High chest of drawers,High chest of drawers,American,,,,,,,,,,,,,,,,,,1750–60,1750,1760,"Maple, birch, white pine",86 1/2 x 40 x 21 1/2 in. (219.7 x 101.6 x 54.6 cm),"Purchase, Joseph Pulitzer Bequest, 1940",Made in,Boston,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/4285,https://www.wikidata.org/wiki/Q29382927,,"Metropolitan Museum of Art, New York, NY",Birds|Human Figures,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q5937779
11.87.7,True,True,True,4470,749,The American Wing,1911,Chocolate jar,Chocolate Jar (Chocolatero),Mexican,,,,,,,,,,,,,,,,,,ca. 1700,1697,1700,"Tin-glazed earthenware, iron",H. 10 1/4 in. (26 cm),"Gift of Mrs. Robert W. de Forest, 1911",Made in,Puebla,,,Mexico,,,,,,,,,http://www.metmuseum.org/art/collection/search/4470,https://www.wikidata.org/wiki/Q104412971,,"Metropolitan Museum of Art, New York, NY",,,
09.175,True,True,True,4591,712,The American Wing,1909,Kast,Kast,American,,,,,,,,,,,,,,,,,,1690–1720,1690,1720,"Painted yellow poplar, red oak, white pine",61 1/2 x 60 1/4 x 23 in. (156.2 x 153 x 58.4 cm),"Rogers Fund, 1909",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/4591,https://www.wikidata.org/wiki/Q104412973,,"Metropolitan Museum of Art, New York, NY",Fruit,http://vocab.getty.edu/page/aat/300011868,https://www.wikidata.org/wiki/Q1364
1972.47,True,False,True,4785,743,The American Wing,1972,Library table,Library Table,American,,,,,110,Maker, ,Herter Brothers,"German, active New York, 1864–1906", ,Herter Brothers,American,1864      ,1906      ,,http://vocab.getty.edu/page/ulan/500274670,https://www.wikidata.org/wiki/Q1614654,1879–82,1879,1882,"Rosewood, brass, mother-of-pearl, and abalone",31 1/4 x 60 x 35 3/4 in. (79.4 x 152.4 x 90.8 cm),"Purchase, Mrs. Russell Sage Gift, 1972",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/4785,https://www.wikidata.org/wiki/Q29382930,,"Metropolitan Museum of Art, New York, NY",Stars|Globes,http://vocab.getty.edu/page/aat/300387654|http://vocab.getty.edu/page/aat/300028089,https://www.wikidata.org/wiki/Q25962599|https://www.wikidata.org/wiki/Q133792
99.2,True,True,True,4923,706,The American Wing,1899,Vase,The Magnolia Vase,American,,,,,16253,Manufacturer,Manufactured by,Tiffany & Co.,1837–present, ,Tiffany & Co., ,1837      ,9999      ,,http://vocab.getty.edu/page/ulan/500330306,https://www.wikidata.org/wiki/Q1066858,ca. 1893,1890,1893,"Silver, gold, enamel, and opals","Overall: 30 7/8 x 19 1/2 in. (78.4 x 49.5 cm); 838 oz. 11 dwt. (26081.6 g)
Foot: Diam. 13 1/2 in. (34.3 cm)","Gift of Mrs. Winthrop Atwill, 1899",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/4923,https://www.wikidata.org/wiki/Q29382932,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
16.112,True,True,True,5505,720,The American Wing,1916,Paneling,"Paneling from the parlor of Marmion, King George County, Virginia",American,,,,,,,,,,,,,,,,,,ca. 1756,1751,1761,Pine and walnut,253 x 197 x 131 in. (642.6 x 500.4 x 332.7 cm),"Rogers Fund, 1916",Made in,,King George County,King George County,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/5505,https://www.wikidata.org/wiki/Q104412974,,"Metropolitan Museum of Art, New York, NY",,,
30.50,True,False,True,5582,743,The American Wing,1930,Stained glass window,Peonies Blown in the Wind,American,,,,,16204,Maker, ,John La Farge,"American, New York 1835–1910 Providence, Rhode Island", ,"La Farge, John",American,1835      ,1910      ,,http://vocab.getty.edu/page/ulan/500022926,https://www.wikidata.org/wiki/Q3120087,ca. 1880,1877,1880,Leaded opalescent glass,75 x 45 in. (190.5 x 114.3 cm),"Gift of Susan Dwight Bliss, 1930",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/5582,https://www.wikidata.org/wiki/Q29382935,,"Metropolitan Museum of Art, New York, NY",Windows|Peonies,http://vocab.getty.edu/page/aat/300002944|http://vocab.getty.edu/page/aat/300380052,https://www.wikidata.org/wiki/Q35473|https://www.wikidata.org/wiki/Q147105
1976.324,True,False,True,5630,726,The American Wing,1976,Pier table,Pier table,American,,,,,187,Maker, ,Joseph B. Barry and Son,1757–1838, ,"Barry, and Son Joseph B.",American,1757      ,1838      ,,http://vocab.getty.edu/page/ulan/500104567,https://www.wikidata.org/wiki/Q98245736,1810–15,1810,1815,"Mahogany, mahogany veneer, satinwood,
amboyna, pine, gilt bronze with yellow poplar",38 x 54 x 23 3/4 in. (96.5 x 137.2 x 60.3 cm),"Purchase, Friends of the American Wing Fund, Anonymous Gift, George M. Kaufman Gift, Sansbury- Mills Fund; Gifts of the Members of the Committee of the Bertha King Benkard Memorial Fund, Mrs. Russell Sage, Mrs. Frederick Wildman, F. Ethel Wickham, Edgar William and Bernice Chrysler Garbisch, and Mrs. F. M. Townsend, by exchange; and John Stewart Kennedy Fund and Bequests of Martha S. Tiedeman and W. Gedney Beatty, by exchange, 1976",Made in,Philadelphia,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/5630,https://www.wikidata.org/wiki/Q29382938,,"Metropolitan Museum of Art, New York, NY",Griffins|Swans,http://vocab.getty.edu/page/aat/300379594|http://vocab.getty.edu/page/aat/300250103,https://www.wikidata.org/wiki/Q130223|https://www.wikidata.org/wiki/Q34384
34.100.124,True,False,True,6186,704,The American Wing,1934,Plate,Plate,American,,,,,727,Maker,Possibly,Heinrich Roth,active ca. 1790–1810, ,"Roth, Heinrich",American,1790      ,1810      ,,(not assigned),https://www.wikidata.org/wiki/Q81808335,1793,1793,1793,Earthenware; Redware with sgraffito decoration,Diam. 12 1/4 in. (31.1 cm),"Gift of Mrs. Robert W. de Forest, 1933",Possibly made in,,Northampton County,Northampton County,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/6186,https://www.wikidata.org/wiki/Q29382940,,"Metropolitan Museum of Art, New York, NY",Peacocks|Flowers,http://vocab.getty.edu/page/aat/300250082|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q201251|https://www.wikidata.org/wiki/Q506
